Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,12/18/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Canada,CAN,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,1.480701754,1.501003509,1.521305263,1.541607018,1.561814035,1.582140351,1.561929825,1.541719298,1.521508772,1.501298246,1.481087719,1.478237002,1.475386284,1.472535566,1.469684848,1.466834131,1.463983413,1.461132695,1.458281978,1.45543126,1.452580542,1.449729825,1.405519298,1.361308772,1.305215789,1.249122807,1.278596491,1.308070175,1.280877193,1.253684211,1.262859649,1.272035088,1.272035088,1.272035088,1.272035088,,
Central Europe and the Baltics,CEB,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.92478318,12.98922611,12.90893964,13.29408799,12.86289137,12.15104232,11.87368742,,
Switzerland,CHE,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,,,,,,,,,,,,,,6.430693069,6.426237624,6.421782178,6.417326733,6.412871287,6.408415842,6.436633663,6.464851485,6.493069307,6.521287129,6.54950495,6.566831683,6.584158416,6.601485149,6.618811881,6.636138614,6.653465347,6.670792079,6.603019802,6.535247525,6.467475248,6.39970297,6.331930693,6.312079208,6.292227723,6.272376238,6.252524752,6.232673267,6.105569307,5.978465347,5.851361386,5.724257426,5.597153465,5.470049505,5.342945545,5.215841584,5.088737624,4.95049505,4.257425743,4.217821782,4.222566832,4.217821782,4.217821782,4.217821782,4.217821782,4.217821782,,
Channel Islands,CHI,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.292112994,2.414308313,2.536503632,2.658698951,2.78089427,2.903089588,3.025284907,3.147480226,3.269675545,3.391308717,3.512941889,3.630589185,3.752219532,3.873849879,3.995480226,3.996384181,3.996384181,3.996384181,3.996384181,3.996384181,3.996384181,3.996384181,3.996384181,3.996384181,3.996384181,3.996384181,3.996384181,3.996384181,3.996384181,,
China,CHN,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,,,,,,,,,,,,,,,,,,,15.77375662,16.07175868,16.36976075,16.66776281,16.96576487,17.10192328,17.23658857,17.37125387,17.50591916,17.64058445,17.77524974,18.07624397,18.3772382,18.67823243,18.80773782,18.93724321,19.0667486,19.19625399,19.32575938,19.45526478,19.58477017,19.60752249,19.63027481,19.65302713,19.67577944,19.69853176,20.19268371,20.21756906,20.48064275,20.7330513,20.86209961,21.15254719,21.28763909,21.42984109,21.09566639,21.03878559,21.4732127,21.1959188,21.07824665,21.40566675,20.20974795,,
Cote d'Ivoire,CIV,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.922696512,1.092313031,1.261929551,1.43154607,1.474492452,1.517438834,1.560385216,1.603331598,1.641679681,1.680027763,1.718375846,1.756723929,1.795072011,1.833420094,1.869963561,1.906507028,1.943050495,1.979593961,2.016137428,1.960148071,1.902799468,1.846130488,1.790480942,1.734831396,1.67918185,1.624211927,1.568222569,1.512233212,1.512233212,1.512233212,1.512233212,1.512233212,1.512233212,1.512233212,,
Cameroon,CMR,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.145054945,0.145347985,0.145641026,0.145934066,0.146227106,0.146520147,0.172454212,0.198388278,0.224322344,0.25025641,0.276190476,0.302124542,0.328058608,0.353992674,0.362930403,0.371868132,0.380805861,0.38974359,0.398681319,0.398681319,0.398681319,0.398681319,0.398681319,0.398681319,0.398681319,0.398681319,0.398681319,0.398681319,0.398681319,0.398681319,0.398681319,0.398681319,0.398681319,0.398681319,,
"Congo, Dem. Rep.",COD,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0529,0.0553,0.0577,0.0601,0.0625,0.0649,0.067111111,0.069322222,0.071533333,0.073744444,0.075955556,0.075955556,0.075955556,0.075955556,0.075955556,0.075955556,0.075955556,0.075955556,0.075955556,0.075955556,0.075955556,0.075955556,0.075955556,0.075955556,0.075955556,0.075955556,,
"Congo, Rep.",COG,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018018018,0.018198198,0.018378378,0.018558559,0.018738739,0.018918919,0.019099099,0.019279279,0.019459459,0.01963964,0.01981982,0.02,0.02018018,0.02036036,0.020540541,0.020720721,0.020720721,0.020720721,0.020720721,0.020720721,0.020720721,0.020720721,0.020720721,0.020720721,0.020720721,0.020720721,0.020720721,0.020720721,0.020720721,0.020720721,0.020720721,0.020720721,0.020720721,0.020720721,,
Colombia,COL,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.361118881,0.384568765,0.407983683,0.431416084,0.454848485,0.478280886,0.501713287,0.525145688,0.548717949,0.642915778,0.737439947,0.831964117,0.926488287,1.021012456,1.115536626,1.210060795,1.304584965,1.285017904,1.265450844,1.31631112,1.357373882,,
Comoros,COM,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,,
Cabo Verde,CPV,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.183333333,7.6,8.016666667,8.433333333,8.433333333,8.433333333,8.433333333,8.433333333,8.433333333,8.433333333,8.433333333,8.433333333,8.433333333,8.433333333,8.433333333,8.433333333,8.433333333,8.433333333,8.433333333,8.433333333,,
Costa Rica,CRI,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.069310619,2.182407965,2.428044248,2.826564602,2.586469027,2.159292035,2.702353982,2.777106195,2.775292035,,
Caribbean small states,CSS,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.137648667,0.94351527,1.083722724,1.083722724,1.083722724,1.083722724,1.083722724,,
Cuba,CUB,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.66998951,13.68327888,13.69656825,13.70985763,13.723147,13.73643637,13.74867643,13.7619658,13.77525517,13.78854455,13.80183392,13.81512329,12.94937041,15.0520724,15.88772298,15.78948059,16.61114026,17.43279993,18.25288562,18.25288562,18.25288562,18.25288562,18.25288562,18.25288562,18.25288562,18.25288562,,
Curacao,CUW,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
